"id","title","authors","published","primary_category","url"
"2104.05893","NewsCLIPpings: Automatic Generation of Out-of-Context Multimodal Media","Grace Luo; Trevor Darrell; Anna Rohrbach","2021-04-13","cs.CV","https://arxiv.org/abs/2104.05893"
"2112.00061","Open-Domain, Content-based, Multi-modal Fact-checking of Out-of-Context Images via Online Resources","Sahar Abdelnabi; Rakibul Hasan; Mario Fritz","2021-12-01","cs.CV","https://arxiv.org/abs/2112.00061"
"2112.09332","WebGPT: Browser-assisted question-answering with human feedback","Reiichiro Nakano; Jacob Hilton; Suchir Balaji; Jeff Wu; Long Ouyang; Christina Kim; Christopher Hesse; Shantanu Jain; Vineet Kosaraju; William Saunders; Xu Jiang; Karl Cobbe; Tyna Eloundou; Gretchen Krueger; Kevin Button; Matthew Knight; Benjamin Chess; John Schulman","2021-12-17","cs.CL","https://arxiv.org/abs/2112.09332"
"2210.03629","ReAct: Synergizing Reasoning and Acting in Language Models","Shunyu Yao; Jeffrey Zhao; Dian Yu; Nan Du; Izhak Shafran; Karthik Narasimhan; Yuan Cao","2022-10-06","cs.CL","https://arxiv.org/abs/2210.03629"
"2212.10509","Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions","Harsh Trivedi; Niranjan Balasubramanian; Tushar Khot; Ashish Sabharwal","2022-12-21","cs.CL","https://arxiv.org/abs/2212.10509"
"2304.04639","EKILA: Synthetic Media Provenance and Attribution for Generative Art","Kar Balan; Shruti Agarwal; Simon Jenni; Andy Parsons; Andrew Gilbert; John Collomosse","2023-04-10","cs.CV","https://arxiv.org/abs/2304.04639"
"2304.14133","VERITE: A Robust Benchmark for Multimodal Misinformation Detection Accounting for Unimodal Bias","Stefanos-Iordanis Papadopoulos; Christos Koutlis; Symeon Papadopoulos; Panagiotis C. Petrantonakis","2023-04-27","cs.CV","https://arxiv.org/abs/2304.14133"
"2305.06983","Active Retrieval Augmented Generation","Zhengbao Jiang; Frank F. Xu; Luyu Gao; Zhiqing Sun; Qian Liu; Jane Dwivedi-Yu; Yiming Yang; Jamie Callan; Graham Neubig","2023-05-12","cs.CL","https://arxiv.org/abs/2305.06983"
"2305.13507","Multimodal Automated Fact-Checking: A Survey","Mubashara Akhtar; Michael Schlichtkrull; Zhijiang Guo; Oana Cocarascu; Elena Simperl; Andreas Vlachos","2023-05-23","cs.CL","https://arxiv.org/abs/2305.13507"
"2305.14251","FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation","Sewon Min; Kalpesh Krishna; Xinxi Lyu; Mike Lewis; Wen-tau Yih; Pang Wei Koh; Mohit Iyyer; Luke Zettlemoyer; Hannaneh Hajishirzi","2023-05-24","cs.CL","https://arxiv.org/abs/2305.14251"
